LIFNR,NAME1,NAME2,ORT01,LAND1,STRAS,PSTLZ,REGIO,TELF1,TELFX,KTOKK,SPRAS,STCD1,STCD2,XCPDK,LOEVM,SPERR,SPERZ,BEGRU,ERDAT,BUKRS,AKONT,ZTERM,ZWELS,REPRF,VRSZL,KULTG,MINDK,ZINDT,ALTKN,PERNR,DATLZ,LNRZA,XVERR,TOGRU,TLFXS,STCD3,UZAWE,EKVBD,EKORG,WAERS,ZTERM_LFM1,INCO1,INCO2,MINBW,KZRET,LFABC,VRFKZ,LIEFF,WMFST,WEBRE,XERSY,XNBWY,PLIFZ,DISPO,RDPRF,MEGRU,UNLOADING_POINT,dim_entity_type,MATNR,ERSDA,ERNAM,LAEDA,AENAM,MTART,MBRSH,MATKL,BISMT,MEINS,BSTME,ZEINR,ZEIVR,ZEIFO,AESZN,BLANZ,LABOR,EKWSL,BRGEW,NTGEW,WERKS,PSTAT,LVORM,BWTTY,MTVFP,DISMM,DISLS,BERID,MABST,MINBE,EISBE,MTVLP,WEBAZ,LGPRO,LGFSB,RGEKZ,FEVOR,INFNR,IDNLF,MAHN1,MAHN2,MAHN3,TXZ01,MAKTX,UMREZ,UMREN,LMEIN,LTSNR,NORMT,VERKF,VREPZ,NETPR,EKORG_EINE,ESOKZ,NETPR_EINE,PEINH,BPRME,PRDAT,EKGRP,MWSKZ,UEBTO,UNTTO,BSTMA,BSTMI
V000001,Vendor 1 Ltd,Vendor 1 Pvt,Ahmedabad,IN,757 Industrial Area,554981.0,MH,919423084753.0,912270861153.0,1.0,EN,GSTIN0000000001,PAN00000001,,,,,1.0,20210721.0,2000.0,21000000.0,2/10NET30,T,,3.0,,,,,P3580,20250630.0,,X,GRP02,,TAN47771252,C,USER003,3000.0,EUR,0002,DAP,DESTINATION,27975.32,,A,,,1.0,X,,,15.0,,1.0,MG03,Dock 6,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000002,Vendor 2 Ltd,Vendor 2 Pvt,Bangalore,IN,41 Industrial Area,433238.0,MH,919774385123.0,912249745321.0,1.0,EN,GSTIN0000000002,PAN00000002,,,,,1.0,20220511.0,3000.0,21000000.0,NET60,B,X,1.0,X,A,,,,20190504.0,,,GRP02,911677546830.0,TAN75082045,C,USER002,2000.0,INR,2/10NET30,CIF,DESTINATION,17743.9,,B,,X,,X,,,11.0,,1.0,MG03,Dock 7,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000003,Vendor 3 Ltd,Vendor 3 Pvt,Chennai,IN,534 Industrial Area,427235.0,MH,919752148388.0,912259766902.0,1.0,EN,GSTIN0000000003,PAN00000003,,,,,1.0,20201207.0,3000.0,21000000.0,NET60,T,,2.0,,,,,P5483,20240514.0,,,GRP03,,TAN31881401,C,USER003,3000.0,EUR,2/10NET30,FOB,DESTINATION,36472.01,,A,,X,,X,,,25.0,,1.0,,Dock 9,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000004,Vendor 4 Ltd,Vendor 4 Pvt,Ahmedabad,IN,348 Industrial Area,595758.0,MH,919127783703.0,912280450239.0,1.0,EN,GSTIN0000000004,PAN00000004,,,,,1.0,20190324.0,2000.0,21000000.0,0001,T,,1.0,X,,,OLD28781,,20220130.0,,,,911031026838.0,TAN30744009,C,USER003,2000.0,EUR,0001,EXW,DESTINATION,43956.3,X,B,,,2.0,X,X,,15.0,MRP2,1.0,MG03,Dock 5,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000005,Vendor 5 Ltd,Vendor 5 Pvt,Kolkata,IN,612 Industrial Area,474619.0,MH,919722824186.0,912200792750.0,1.0,EN,GSTIN0000000005,PAN00000005,,,,,1.0,20190818.0,1000.0,21000000.0,2/10NET30,C,X,,X,,20241209.0,,P2875,20180418.0,,,GRP01,,,C,USER003,2000.0,INR,NET60,DDP,DESTINATION,47996.31,,A,1.0,,,X,,,18.0,,1.0,,Dock 5,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000006,Vendor 6 Ltd,Vendor 6 Pvt,Pune,IN,788 Industrial Area,566434.0,MH,919875775299.0,912250948335.0,1.0,EN,GSTIN0000000006,PAN00000006,,,,,1.0,20180518.0,1000.0,21000000.0,NET30,B,,3.0,X,,,,P1249,20251019.0,,,GRP03,,,C,USER002,2000.0,EUR,0001,DAP,DESTINATION,13060.85,,A,2.0,X,,X,,X,4.0,MRP5,1.0,,Dock 9,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000007,Vendor 7 Ltd,Vendor 7 Pvt,Hyderabad,IN,310 Industrial Area,423085.0,MH,919839582169.0,912292662002.0,1.0,EN,GSTIN0000000007,PAN00000007,,,,,1.0,20220623.0,3000.0,21000000.0,0002,C,,3.0,,,,,,20251110.0,V000031,,GRP02,916513585010.0,,C,USER001,1000.0,EUR,NET30,CIF,DESTINATION,2293.85,,B,1.0,,1.0,X,X,,11.0,MRP3,1.0,,Dock 3,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000008,Vendor 8 Ltd,Vendor 8 Pvt,Jaipur,IN,984 Industrial Area,472090.0,MH,919240820354.0,912276372873.0,1.0,EN,GSTIN0000000008,PAN00000008,,,,,1.0,20221112.0,3000.0,21000000.0,0001,B,,2.0,,,20240812.0,,,20230131.0,,X,,,,C,,3000.0,USD,NET30,DAP,DESTINATION,12084.56,X,A,,,,X,,,11.0,MRP1,1.0,,Dock 8,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000009,Vendor 9 Ltd,Vendor 9 Pvt,Bangalore,IN,591 Industrial Area,513896.0,MH,919988133861.0,912246185886.0,1.0,EN,GSTIN0000000009,PAN00000009,,,,,1.0,20210619.0,3000.0,21000000.0,2/10NET30,C,,3.0,X,A,,OLD22878,,20240316.0,,,,,,C,USER003,2000.0,USD,0001,DDP,DESTINATION,23084.63,,A,2.0,X,3.0,X,,,22.0,,1.0,MG01,Dock 10,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000010,Vendor 10 Ltd,Vendor 10 Pvt,Ahmedabad,IN,609 Industrial Area,556444.0,MH,919550994130.0,912286680464.0,1.0,EN,GSTIN0000000010,PAN00000010,,,,,1.0,20210916.0,2000.0,21000000.0,NET30,C,,2.0,,C,,,,20180525.0,,,,911544998804.0,,C,USER002,3000.0,USD,0002,FOB,DESTINATION,14866.91,,A,,X,,X,,,19.0,,1.0,MG03,Dock 6,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
