BELNR,GJAHR,BUZEI,EBELN,EBELP,MATNR,WERKS,MENGE,MEINS,WRBTR,TXBHW,MWSKZ,SAKTO,KOSTL,PS_PSP_PNR,AUFNR,GSBER,PRCTR,SGTXT,BUKRS,RBKPF_GJAHR,RBKPF_BUKRS,RBKPF_BLDAT,RBKPF_BUDAT,RBKPF_CPUDT,RBKPF_USNAM,RBKPF_BLART,RBKPF_LIFNR,RBKPF_WAERS,RBKPF_WRBTR,RBKPF_RMWWR,RBKPF_XBLNR,RBKPF_BKTXT,RBKPF_ZFBDT,RBKPF_ZTERM,RBKPF_ZLSCH,RBKPF_BVTYP,RBKPF_STBLG,RBKPF_STJAH,LIFNR,BSEG_BELNR,BSEG_GJAHR,BSEG_BUZEI,BSEG_KOART,BSEG_KUNNR,BSEG_HKONT,BSEG_KOSTL,BSEG_SAKTO,BSEG_MWSKZ,BSEG_DMBTR,BSEG_WRBTR,BSEG_WAERS,BSEG_SHKZG,BSEG_ZTERM,BSEG_ZFBDT,BSEG_SGTXT,BSEG_PRCTR,BSEG_GSBER,BKPF_BLART,BKPF_BLDAT,BKPF_BUDAT,BKPF_MONAT,BKPF_CPUDT,BKPF_USNAM,BKPF_TCODE,BKPF_BKTXT,BKPF_WAERS,BKPF_KURSF,BKPF_XBLNR,BKPF_BVTYP,BKPF_STBLG,BKPF_STJAH,BKPF_AWTYP,BKPF_AWKEY,BKPF_XSTOV,BSIK_LIFNR,BSIK_UMSKS,BSIK_UMSKZ,BSIK_BLART,BSIK_BUDAT,BSIK_BLDAT,BSIK_WAERS,BSIK_DMBTR,BSIK_WRBTR,BSIK_DMSHB,BSIK_SHKZG,BSIK_ZTERM,BSIK_ZFBDT,BSIK_REBZG,BSIK_REBZJ,BSIK_XBLNR,BSAK_LIFNR,BSAK_UMSKS,BSAK_UMSKZ,BSAK_BLART,BSAK_BUDAT,BSAK_BLDAT,BSAK_WAERS,BSAK_DMBTR,BSAK_WRBTR,BSAK_DMSHB,BSAK_SHKZG,BSAK_AUGDT,BSAK_AUGBL,BSAK_AUGJH,BSAK_XBLNR,BSAK_REBZG,REGUP_BUDAT,REGUP_LAUFI,REGUP_LAUFD,LAUFD,LAUFI,REGUH_ZBUKR,REGUH_LIFNR,REGUH_KUNNR,REGUH_EMPFG,REGUH_RZAWE,REGUH_WAERS,REGUH_RWBTR,REGUH_VALUT,REGUH_VBLNR,REGUH_VGJHR,REGUH_RBBUK,REGUH_HBKID,REGUH_HKTID,REGUH_XVORL,REGUH_XPYRT,REGUH_ABSND,REGUH_STGRD,REGUH_PRTNR,PAYR_ZBUKR,PAYR_HBKID,PAYR_HKTID,PAYR_RZAWE,PAYR_CHECT,PAYR_LIFNR,PAYR_KUNNR,VBLNR,PAYR_VGJHR,PAYR_WAERS,PAYR_RWBTR,PAYR_VALUT,PAYR_ZALDT,PAYR_XVORL,PAYR_STGRP,PAYR_PRTNR,PAYR_ABSND,PAYR_LAUFD,PAYR_LAUFI,PAYR_XSTAO,FEBEP_HBKID,FEBEP_HKTID,FEBEP_LFDNR,FEBEP_BUDAT,FEBEP_VALUT,FEBEP_WAERS,FEBEP_KWBTR,FEBEP_KWATR,FEBEP_XAUTO,FEBEP_ZUONR,FEBEP_SGTXT,FEBEP_VGEXT,FEBEP_BVTYP,FEBEP_LIFNR,FEBEP_EMPFG,FEBEP_MANDT,FEBEP_XSTBO,kpi_days_to_pay
5100000001,2025,1,4500000001,10,MAT00000013,1000,37.376,L,25393.25,4570.79,I0,6000000028,CC000018,WBS-0020,,BU01,PC0009,Invoice line 1,1000,2025,1000,20250112,20250112,20250112,USER013,RE,V000027,EUR,147265.91,147265.91,INV00000001,Vendor Invoice 1,20250211,0001,C,,,,V000027,1000000049.0,2025.0,1.0,D,C000014,6000000018.0,CC000007,6000000022.0,V1,472365.87,472365.87,INR,H,0001,20251112.0,BSEG Line 49,PC0005,BU04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20230604,RUN0019,20250625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-588
5100000002,2023,1,4500000002,10,MAT00000044,1000,161.4,KG,747959.88,134632.78,V0,6000000009,CC000004,WBS-0025,,BU05,PC0005,Invoice line 2,3000,2025,2000,20250416,20250416,20250416,USER006,RE,V000024,INR,42945.39,42945.39,INV00000002,Vendor Invoice 2,20250516,NET30,C,DTAZV,,,V000024,1000000088.0,2024.0,1.0,A,C000027,6000000014.0,CC000010,6000000008.0,V1,115347.32,115347.32,USD,H,2/10NET30,20250124.0,BSEG Line 88,PC0001,BU03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20230603,RUN0004,20240317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-683
5100000003,2024,1,4500000003,10,MAT00000047,1000,121.345,PC,297027.08,53464.87,V0,6000000005,CC000008,WBS-0004,ORD364583,BU02,PC0006,Invoice line 3,1000,2023,1000,20230111,20230111,20230111,USER008,RE,V000001,INR,126030.78,126030.78,INV00000003,Vendor Invoice 3,20230210,0001,C,,,,V000001,1000000013.0,2024.0,1.0,S,C000036,6000000007.0,CC000006,6000000002.0,V1,226144.94,226144.94,USD,H,NET30,20240620.0,BSEG Line 13,PC0002,BU03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20230414,RUN0001,20231226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
5100000004,2024,1,4500000004,10,MAT00000033,1100,57.122,KG,242179.0,43592.22,V2,6000000002,CC000010,WBS-0005,ORD546381,BU04,PC0001,Invoice line 4,3000,2025,1000,20251016,20251016,20251016,USER012,RE,V000008,EUR,117508.46,117508.46,INV00000004,Vendor Invoice 4,20251115,0002,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240117,RUN0001,20240214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-638
5100000005,2023,1,4500000005,10,MAT00000047,3000,35.334,M,169969.26,30594.47,V0,6000000030,CC000019,WBS-0013,,BU03,PC0006,Invoice line 5,2000,2023,3000,20231121,20231121,20231121,USER019,RE,V000022,EUR,240180.03,240180.03,INV00000005,Vendor Invoice 5,20231221,0001,C,,1000000143.0,2024.0,V000022,1000000087.0,2023.0,1.0,A,,6000000009.0,CC000012,6000000025.0,V0,225799.52,225799.52,EUR,S,NET30,20230312.0,BSEG Line 87,PC0005,BU04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20230122,RUN0017,20230122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-303
5100000006,2025,1,4500000006,10,MAT00000016,1000,5.761,KG,873.25,157.19,I1,6000000010,CC000007,WBS-0008,,BU01,PC0010,Invoice line 6,3000,2024,2000,20241108,20241108,20241108,USER007,RE,V000039,USD,268745.0,268745.0,INV00000006,Vendor Invoice 6,20241208,2/10NET30,C,,1000000056.0,2025.0,V000039,1000000104.0,2025.0,1.0,K,,6000000014.0,CC000015,6000000003.0,V1,182734.07,182734.07,USD,H,NET30,20250320.0,BSEG Line 104,PC0005,BU04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20250520,RUN0002,20251008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193
5100000007,2023,1,4500000007,10,MAT00000040,3000,74.927,EA,180528.36,32495.11,V1,6000000020,CC000001,WBS-0030,,BU01,PC0008,Invoice line 7,1000,2023,1000,20230802,20230802,20230802,USER005,RE,V000003,EUR,187132.0,187132.0,INV00000007,Vendor Invoice 7,20230901,NET60,C,CHECK,1000000105.0,2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20230416,RUN0006,20250902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-108
5100000008,2024,1,4500000008,10,MAT00000032,2000,68.179,KG,49229.33,8861.28,V0,6000000003,CC000012,WBS-0007,,BU02,PC0004,Invoice line 8,3000,2024,1000,20240808,20240808,20240808,USER013,RE,V000020,EUR,284583.68,284583.68,INV00000008,Vendor Invoice 8,20240907,2/10NET30,C,DTAZV,,,V000020,1000000071.0,2024.0,1.0,A,C000050,6000000024.0,CC000017,6000000005.0,V1,446070.52,446070.52,USD,H,0002,20240908.0,BSEG Line 71,PC0001,BU04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20230104,RUN0012,20250123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-582
5100000009,2024,1,4500000009,10,MAT00000009,2000,34.812,EA,40306.03,7255.09,I0,6000000005,CC000003,WBS-0003,,BU01,PC0005,Invoice line 9,1000,2024,3000,20240226,20240226,20240226,USER013,RE,V000002,INR,401772.56,401772.56,INV00000009,Vendor Invoice 9,20240327,NET30,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240526,RUN0002,20251221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90
5100000010,2024,1,4500000010,10,MAT00000026,2100,99.314,KG,61996.76,11159.42,V2,6000000025,CC000002,WBS-0006,,BU05,PC0005,Invoice line 10,2000,2023,1000,20230905,20230905,20230905,USER015,RE,V000013,USD,427839.62,427839.62,INV00000010,Vendor Invoice 10,20231005,0002,C,DTAZV,1000000015.0,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20231216,RUN0001,20240109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
