EBELN,EBELP,MATNR,TXZ01,WERKS,LGORT,MENGE,MEINS,NETPR,PEINH,NETWR,BPRME,BPUMZ,BPUMN,INFNR,MWSKZ,WEPOS,REPOS,LOEKZ,ELIKZ,EKKO_BUKRS,EKKO_BSTYP,EKKO_BSART,EKKO_LIFNR,EKKO_EKORG,EKKO_EKGRP,EKKO_BEDAT,EKKO_AEDAT,EKKO_KDATB,EKKO_KDATE,EKKO_WAERS,EKKO_ZTERM,EKKO_INCO1,EKKO_INCO2,EKKO_WKURS,EKKO_KUNNR,EKKO_LLIEF,EKKO_VERKF,EKKO_LOEKZ,BANFN,BNFPO,EBAN_BSART,EBAN_TXZ01,EBAN_LGORT,EBAN_MENGE,EBAN_MEINS,EBAN_BADAT,EBAN_AFNAM,EBAN_EKGRP,EBAN_FRGRL,EBAN_FRGST,EBAN_KNTTP,EBAN_PREIS,EBAN_PEINH,EBAN_WAERS,EBAN_BEDNR,EBAN_LOEKZ,EBKN_ZEKKN,EBKN_KOSTL,EBKN_PS_PSP_PNR,EBKN_SAKTO,EBKN_KOKRS,EBKN_GSBER,EBKN_VBELN,EBKN_VBELP,EBKN_AUFNR,EBKN_ANLN1,EBKN_VKONT,EBKN_PRCTR,EBKN_FKBER,EBKN_BUKRS,EKKN_ZEKKN,EKKN_KOSTL,EKKN_PS_PSP_PNR,EKKN_SAKTO,EKKN_KOKRS,EKKN_GSBER,EKKN_VBELN,EKKN_VBELP,EKKN_AUFNR,EKKN_ANLN1,EKKN_PRCTR,EKKN_FKBER,EKKN_BUKRS,EKKN_VKONT,EKBE_ZEKKN,EKBE_VGABE,EKBE_GJAHR,EKBE_BELNR,EKBE_BUZEI,EKBE_BEWTP,EKBE_MENGE,EKBE_MEINS,EKBE_DMBTR,EKBE_WAERS,EKBE_BUDAT,EKBE_BLDAT,EKBE_SHKZG,EKBE_BWART,EKBE_MATNR,EKBE_WERKS,EKBE_LGORT,EKBE_LIFNR,MSEG_MBLNR,MSEG_MJAHR,MSEG_ZEILE,MSEG_BWART,MSEG_MATNR,MSEG_WERKS,MSEG_LGORT,MSEG_CHARG,MSEG_LIFNR,MSEG_MENGE,MSEG_MEINS,MSEG_DMBTR,MSEG_WAERS,MSEG_BUKRS,MSEG_KOSTL,MSEG_SAKTO,MSEG_SGTXT,MSEG_XAUTO,MBLNR,MJAHR,MKPF_BLDAT,MKPF_BUDAT,MKPF_CPUDT,MKPF_USNAM,MKPF_TCODE,MKPF_BKTXT,MKPF_FRBNR,MKPF_XABLN,MKPF_VBELN,MKPF_KZDIS,MKPF_BWART,MARD_LABST,MARD_UMLME,MARD_EINME,MARD_AUSME,MARD_SPEME,MARD_INSME,MARD_LFGJA,MARD_LFMON,MARD_LFGBE,MARD_LBKUM,MARD_SALK3,MARD_MAABC,MARD_MTVFP,MARD_PERKZ,MARD_BKLAS,kpi_three_way_match,kpi_po_cycle_time_days,kpi_on_time_delivery
4500000001,10,MAT00000001,PO Item 1,2000,0010,278.847,KG,13899.13,1,3875730.7,L,1,1,INFO000013,V0,X,X,,,3000,F,RS,V000001,2000,2,20250228,20250228,20250228,20250529,USD,0001,EXW,DESTINATION PORT,72.4088,,,SALES09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,CC000008,WBS-0010,6000000029,1000,BU05,,,,,PC0009,FIN,1000,,1,4,2023,5000000001,1,R,59.235,KG,261515.68,INR,20230326,20230326,H,122,MAT00000024,2000,0002,V000015,5000000001,2024,1,101,MAT00000053,1000,0010,,V000018,198.55,PC,35622.55,USD,1000,CC000018,6000000005,GR Material 1,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4500000002,10,MAT00000045,PO Item 2,1100,WH01,377.049,KG,1476.3,1,556637.44,EA,1,1,INFO000014,I0,X,X,,,3000,F,RS,V000039,1000,2,20240125,20240125,20240125,20240424,EUR,0002,DAP,DESTINATION PORT,87.202,,1200.0,SALES10,,1000000009.0,10.0,ZNB,PR Item 9,0010,361.376,PC,20250603.0,USER004,1.0,X,1.0,P,25015.35,1.0,EUR,REQ00000009,,1.0,CC000018,WBS-0024,6000000014.0,1000.0,BU02,,,,,,PC0003,,1000.0,1,CC000018,WBS-0010,6000000027,1000,BU05,,,,,PC0008,,3000,,1,7,2025,5000000002,1,Q,5.851,KG,21050.06,INR,20251025,20251025,H,101,MAT00000049,3000,0001,V000030,5000000002,2023,1,501,MAT00000005,3000,0010,,V000002,54.953,EA,36441.11,EUR,1000,CC000015,6000000020,GR Material 2,,,,,,,,,,,,,,,847.393,7.354,0.0,0.0,7.354,0.0,2025.0,1.0,492.299,206.072,312932.12,A,PD,M,7145.0,1,,
4500000003,10,MAT00000056,PO Item 3,2100,0010,78.427,PC,43298.09,1,3395739.3,KG,1,1,INFO000026,I0,X,X,,,2000,F,ZUB,V000001,1000,10,20250922,20250922,20250922,20251221,USD,2/10NET30,FOB,DESTINATION PORT,78.049,,3000.0,SALES05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,CC000010,WBS-0005,6000000014,1000,BU01,,,,,PC0001,,2000,CA612573,1,4,2024,5000000003,1,R,105.099,PC,168527.47,USD,20240629,20240629,S,122,MAT00000057,3000,0010,V000003,5000000003,2024,1,101,MAT00000033,2100,0002,BATCH70929,V000034,43.518,PC,7092.64,EUR,3000,CC000011,6000000005,GR Material 3,,5000000003.0,2024.0,20240721.0,20240721.0,20240721.0,USER011,MIGO,GR for PO 4500000003,DLV00000003,SLIP820540,4500000003.0,,501.0,,,,,,,,,,,,,,,,1,,1.0
4500000004,10,MAT00000042,PO Item 4,2100,0002,92.183,PC,29945.17,1,2760435.61,EA,1,1,INFO000034,I1,X,X,,X,3000,F,FO,V000016,3000,20,20241217,20241217,20241217,20250317,EUR,NET30,EXW,DESTINATION PORT,74.1106,,,SALES09,,1000000081.0,10.0,ZNB,PR Item 81,0002,229.515,PC,20231004.0,USER004,20.0,02,3.0,P,16673.26,1.0,INR,REQ00000081,,1.0,CC000012,WBS-0001,6000000020.0,1000.0,BU03,8518238399.0,10.0,,,,PC0005,SCM,1000.0,1,CC000019,WBS-0021,6000000011,1000,BU05,,,,,PC0009,,1000,,1,5,2025,5000000004,1,R,151.923,PC,587467.46,USD,20250519,20250519,H,102,MAT00000057,3000,0001,V000012,5000000004,2023,1,502,MAT00000053,1100,0001,,V000014,37.113,KG,69868.84,INR,3000,CC000015,6000000026,GR Material 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4500000005,10,MAT00000020,PO Item 5,2000,WH01,168.435,PC,46381.42,1,7812254.48,M,1,1,INFO000018,V2,X,X,,,3000,F,ZUB,V000021,1000,10,20231006,20231006,20231006,20240104,EUR,NET60,CIF,DESTINATION PORT,83.9265,,,SALES08,,1000000135.0,10.0,ZNB,PR Item 135,0001,339.585,EA,20250419.0,USER010,2.0,X,4.0,A,44009.06,1.0,EUR,REQ00000135,,1.0,CC000009,WBS-0009,6000000020.0,1000.0,BU01,,,ORD220351,,,PC0001,ADM,1000.0,1,CC000009,WBS-0010,6000000003,1000,BU04,5756663747.0,30.0,,,PC0008,ADM,3000,CA195359,1,4,2024,5000000005,1,R,161.963,L,639639.25,USD,20240805,20240805,H,121,MAT00000033,3000,0010,V000011,5000000005,2023,1,502,MAT00000015,3000,WH01,BATCH24302,V000005,21.331,L,79428.12,USD,3000,CC000005,6000000013,GR Material 5,,5000000005.0,2023.0,20230419.0,20230419.0,20230419.0,USER014,MIGO,GR for PO 4500000005,DLV00000005,,4500000005.0,,101.0,,,,,,,,,,,,,,,,1,-731.0,1.0
4500000006,10,MAT00000044,PO Item 6,3000,0010,143.968,L,6936.83,1,998681.54,M,1,1,INFO000035,V2,X,X,L,,1000,F,NB,V000007,2000,2,20230219,20230219,20230219,20230520,INR,NET60,FOB,DESTINATION PORT,81.9691,,,SALES06,,1000000019.0,10.0,ZNB,PR Item 19,WH01,466.271,L,20230611.0,USER019,2.0,03,1.0,P,41254.62,1.0,EUR,REQ00000019,,1.0,CC000001,WBS-0016,6000000007.0,1000.0,BU02,,,,,,PC0009,FIN,1000.0,1,CC000015,WBS-0007,6000000002,1000,BU02,,,ORD802371,,PC0001,SAL,1000,,1,4,2025,5000000006,1,R,131.001,M,285922.42,USD,20251225,20251225,H,101,MAT00000047,1000,0001,V000036,5000000006,2025,1,101,MAT00000017,2100,0002,,V000034,23.045,EA,49317.47,EUR,1000,CC000009,6000000029,GR Material 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4500000007,10,MAT00000055,PO Item 7,1000,0001,449.746,EA,12927.06,1,5813893.53,M,1,1,INFO000033,I1,X,X,,,3000,F,ZUB,V000024,2000,20,20250408,20250408,20250408,20250707,EUR,NET30,FOB,DESTINATION PORT,75.9196,,,SALES09,,1000000005.0,10.0,RV,PR Item 5,WH01,478.761,KG,20250302.0,USER004,10.0,03,4.0,A,29911.79,1.0,INR,REQ00000005,,1.0,CC000014,WBS-0001,6000000013.0,1000.0,BU01,3485432021.0,10.0,,,,PC0005,,2000.0,1,CC000020,WBS-0009,6000000018,1000,BU01,7026930365.0,10.0,,,PC0006,,1000,,1,3,2025,5000000007,1,R,34.354,M,152782.39,USD,20250428,20250428,H,101,MAT00000039,1100,WH01,V000038,5000000007,2023,1,502,MAT00000045,2000,0001,BATCH21248,V000001,139.158,PC,686448.27,USD,2000,CC000005,6000000014,GR Material 7,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4500000008,10,MAT00000031,PO Item 8,2100,0010,56.3,KG,36338.89,1,2045879.51,M,1,1,INFO000042,I1,X,X,,,2000,F,FO,V000030,1000,3,20240225,20240225,20240225,20240525,USD,0001,CIF,DESTINATION PORT,80.9229,,1200.0,SALES05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,CC000018,WBS-0016,6000000029,1000,BU03,,,,,PC0010,MFG,3000,,1,4,2023,5000000008,1,E,16.048,M,53561.93,USD,20230920,20230920,H,101,MAT00000037,2100,0010,V000017,5000000008,2024,1,102,MAT00000054,1000,0002,BATCH33628,V000039,22.695,L,112885.9,INR,3000,CC000002,6000000009,GR Material 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4500000009,10,MAT00000006,PO Item 9,1000,0001,55.996,KG,30652.63,1,1716424.67,EA,1,1,INFO000030,V1,X,X,,,2000,F,NB,V000014,1000,20,20230608,20230608,20230608,20230906,EUR,0002,FOB,DESTINATION PORT,79.8062,,,SALES03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,CC000009,WBS-0008,6000000014,1000,BU03,,,,,PC0006,,1000,,1,2,2025,5000000009,1,R,181.692,KG,28617.39,USD,20251019,20251019,S,102,MAT00000020,1000,0010,V000016,5000000009,2024,1,101,MAT00000006,2100,WH01,,V000001,153.903,L,566500.66,USD,2000,CC000013,6000000030,GR Material 9,,5000000009.0,2024.0,20240315.0,20240315.0,20240315.0,USER013,MIGO,GR for PO 4500000009,DLV00000009,SLIP400947,4500000009.0,X,501.0,,,,,,,,,,,,,,,,1,,0.0
4500000010,10,MAT00000045,PO Item 10,1000,0010,482.404,PC,20256.68,1,9771903.46,EA,1,1,INFO000046,V0,X,X,,,3000,F,RS,V000015,2000,20,20241027,20241027,20241027,20250125,USD,0002,DAP,DESTINATION PORT,73.0787,C000001,,SALES05,,1000000048.0,10.0,ZNB,PR Item 48,0001,262.106,PC,20230731.0,USER020,2.0,X,1.0,A,38811.72,1.0,EUR,REQ00000048,,1.0,CC000002,WBS-0026,6000000008.0,1000.0,BU02,,,,,,PC0003,FIN,1000.0,1,CC000002,WBS-0026,6000000029,1000,BU03,5489281916.0,30.0,,,PC0001,,3000,,1,3,2025,5000000010,1,E,120.798,KG,160777.47,INR,20250504,20250504,S,101,MAT00000037,3000,0001,V000039,5000000010,2025,1,102,MAT00000003,3000,0010,,V000027,116.753,L,20834.48,USD,3000,CC000012,6000000010,GR Material 10,,5000000010.0,2025.0,20250418.0,20250418.0,20250418.0,USER011,MIGO,GR for PO 4500000010,DLV00000010,SLIP465308,4500000010.0,,501.0,,,,,,,,,,,,,,,,1,627.0,0.0
